
현재 판매가격(충전소)

기준일자 : 20170202,,,,,,(단위 : 원/리터)
고유번호,지역,상호,주소,상표,셀프여부,LPG

A0002537,경기 수원시,비행장주유소/충전소,경기 수원시 권선구 정조로 291  (대황교동),SK에너지,일반,793
A0002581,경기 수원시,극동산업(주)광명충전소,경기 수원시 권선구 매송고색로 487 (오목천동),S-OIL,일반,760
A0002603,경기 수원시,극동산업(주)병점충전소,경기 수원시 권선구 정조로 215  (대황교동),S-OIL,일반,760
A0002676,경기 수원시,세광가스(주)행복충전소,경기도 수원시 권선구  수인로 377 (구운동),GS칼텍스,일반,728
A0002680,경기 수원시,(주)뉴라이저(고색충전소),경기도 수원시 권선구 권선로 252 (고색동),SK에너지,일반,737
A0002681,경기 수원시,대성산업(주)수원충전소,경기도 수원시 권선구  권선로 337 (서둔동),GS칼텍스,일반,737
A0002705,경기 수원시,(주)아이비에너지,경기도 수원시 권선구  수인로 402 (입북동),SK에너지,일반,728
A0002743,경기 수원시,(주)경기태평양충전소,경기도 수원시 권선구 수인로 34 (서둔동),E1,일반,793
A0005872,경기 수원시,탑동충전소,경기 수원시 권선구 서부로 1782 (탑동),SK가스,일반,728
A0006900,경기 수원시,대황교 LPG 충전소, 경기도 수원시 권선구 정조로 235 (대황교동),SK에너지,일반,774
A0007126,경기 수원시,신일LPG충전소,경기 수원시 권선구 서부로 1766 (탑동),GS칼텍스,일반,731
A0007160,경기 수원시,수안LPG충전소,경기도 수원시 장안구 경수대로 1238,GS칼텍스,일반,785
A0007180,경기 수원시,우성충전소,경기 수원시 권선구 서호동로 65 (서둔동),SK에너지,일반,798
A0007186,경기 수원시,그린에너지,경기 수원시 장안구 경수대로 1196 (파장동),SK에너지,일반,747
A0007246,경기 수원시,북수원톨게이트충전소,경기도 수원시 장안구 경수대로 1184,GS칼텍스,일반,783
A0007358,경기 수원시,sk수원충전소,경기도 수원시 장안구  경수대로976번길 13 (송죽동),SK에너지,일반,799
A0007400,경기 수원시,광교신도시충전소,경기도 수원시 영통구  광교호수로 101 (하동),SK가스,일반,785
A0007429,경기 수원시,(주)희망가스충전소,경기도 수원시 팔달구 중부대로 241,SK에너지,일반,799
A0007441,경기 수원시,(주)북문가스,경기 수원시 장안구 팔달로 247번길 1 (영화동),현대오일뱅크,일반,779
A0007537,경기 수원시,(주)해월에너지 수원충전소,경기 수원시 영통구 중부대로 486  (원천동),SK에너지,일반,799
A0033100,경기 수원시,황계충전소,경기도 수원시 권선구  경수대로 59-1 (대황교동),SK가스,일반,793
A0005646,경기 성남시,궁내동가스충전소, 경기도 성남시 분당구 대왕판교로 272,E1,일반,839
A0005681,경기 성남시,기륭가스충전소,경기 성남시 수정구 헌릉로 970 (복정동),SK가스,일반,816
A0005732,경기 성남시,수정충전소,경기도 성남시 수정구  성남대로 1543 (복정동),SK가스,일반,829
A0005734,경기 성남시,이원엘피지성남충전소,경기도 성남시 수정구  성남대로 1327 (태평동),E1,일반,842
A0005737,경기 성남시,대기가스(주),경기도 성남시 수정구 산성대로 217 (신흥동),SK에너지,일반,803
A0005740,경기 성남시,서울하이페스센터LPG충전소,경기도 성남시 분당구 대왕판교로 294,SK에너지,일반,828
A0005742,경기 성남시,SK판교충전소,경기 성남시 수정구 대왕판교로 860 (시흥동),SK가스,일반,843
A0005744,경기 성남시,한일가스산업(주)성남충전소,경기도 성남시 수정구 성남대로 1203 (수진동),SK가스,일반,841
A0005764,경기 성남시,(주)소모홀딩스 분당충전소,경기도 성남시 분당구  탄천상로 116 (구미동),GS칼텍스,일반,841
A0005774,경기 성남시,(주)성림가스갈현충전소,경기도 성남시 중원구 경충대로 2558 (갈현동),SK가스,일반,841
A0005779,경기 성남시,대성산업(주)성남충전소,경기 성남시 중원구 둔촌대로 347 (하대원동),GS칼텍스,일반,801
A0005794,경기 성남시,(주)성남에너지,경기도 성남시 중원구  경충대로 2653 (갈현동),E1,일반,842
A0005795,경기 성남시,(주)허스코 분당GS충전소,경기도 성남시 분당구 대왕판교로 359 (궁내동),GS칼텍스,일반,836
A0009027,경기 성남시,SKOK충전소,경기도 성남시 분당구  대왕판교로 131 (금곡동),SK에너지,일반,818
A0004528,경기 의정부시,금오충전소,경기도 의정부시  호국로 1620 (금오동),SK에너지,일반,843
A0004625,경기 의정부시,복지북부LPG충전소, 경기도 의정부시 평화로 75,E1,일반,840
A0004651,경기 의정부시,산곡에너지충전소,경기도 의정부시 송산로 950 (산곡동),SK에너지,일반,840
A0004916,경기 의정부시,KH에너지(주)직영장암충전소,경기 의정부시 동일로 141 (장암동),SK가스,일반,839
A0004967,경기 의정부시,대성산업(주)의정부충전소,경기도 의정부시  평화로 433 대성산업(주)의정부충전소,GS칼텍스,일반,843
A0004989,경기 의정부시,대로충전소,경기도 의정부시 가금로 75(가능동),현대오일뱅크,일반,843
A0004996,경기 의정부시,(주)강촌녹양엘피지충전소,경기도 의정부시  평화로 801 (녹양동),E1,일반,843
A0005017,경기 의정부시,(주)강촌엘피지, 경기도 의정부시 금신로 54,E1,일반,839
A0001934,경기 안양시,(주)안양LPG충전소,경기 안양시 동안구 경수대로 957 (비산동),E1,일반,818
A0001965,경기 안양시,(주)삼표에너지 안양사업소,경기 안양시 만안구 시민대로 45 (안양동),GS칼텍스,일반,818
A0008175,경기 안양시,상신가스연료,경기도 안양시 동안구 관악대로 283 (관양동),E1,일반,820
A0008195,경기 안양시,동일석유(주)신안충전,경기 안양시 동안구 엘에스로 101 (호계동),SK에너지,일반,818
A0009968,경기 안양시,SK안양충전소,경기도 안양시 만안구  안양로 575,SK에너지,일반,820
A0000127,경기 부천시,서해가스충전소,경기도 부천시 원미구  송내대로 377 (상동),GS칼텍스,일반,833
A0000563,경기 부천시,비케이프라임실업(주),경기 부천시 오정구 봉오대로 472 (고강동),SK에너지,일반,841
A0005953,경기 부천시,로안충전소,경기 부천시 오정구 벌말로 157 (대장동),SK에너지,일반,851
A0006012,경기 부천시,(주)원미가스충전소,경기도 부천시 원미구  길주로 610 (춘의동),SK가스,일반,844
A0006023,경기 부천시,중동충전소,경기 부천시 오정구 벌말로 62 (대장동),E1,일반,838
A0006044,경기 부천시,동일석유(주)부천충전소,경기도 부천시 오정구  석천로 445 (삼정동),SK에너지,일반,800
A0006066,경기 부천시,공항가스충전소,경기 부천시 오정구 역곡로 558 (고강동),SK에너지,일반,841
A0030506,경기 부천시,부천LPG충전소,경기도 부천시 원미구 길주로 429 (춘의동),E1,일반,844
A0001238,경기 동두천시,중앙LPG충전소,경기도 동두천시 강변로 814,SK가스,일반,838
A0001572,경기 동두천시,제일 LPG충전소,경기도 동두천시  평화로 3130 (하봉암동),SK에너지,일반,753
A0004281,경기 동두천시,신진BANK주유소충전소,경기 동두천시 삼육사로 704 (상패동),현대오일뱅크,일반,838
A0004830,경기 동두천시,창림에너지(주),경기 동두천시 평화로 2884-2 (상봉암동),GS칼텍스,일반,837
A0004937,경기 동두천시,창림에너지(주),경기도 동두천시 평화로 2244 (지행동),GS칼텍스,일반,837
A0001870,경기 광명시,가학충전소,경기 광명시 광명로 159 (가학동),SK가스,일반,799
A0006872,경기 광명시,극동실업(주)충전소,경기 광명시 범안로 903 (하안동),SK에너지,일반,837
A0008343,경기 광명시,광명충전소,경기 광명시 광명로 675 (광명동),현대오일뱅크,일반,836
A0008399,경기 광명시,(삼성토탈)헵시바LPG충전소,광덕로 광명교 근처,자가상표,일반,837
A0000242,경기 이천시,(주)신화ONC,경기도 이천시 마장면 중부대로 560,SK에너지,셀프,779
A0003497,경기 이천시,반월성 가스충전소,경기 이천시 설성면 서동대로,GS칼텍스,일반,789
A0003614,경기 이천시,장호원LPG충전소,경기 이천시 장호원읍 경충대로 113,E1,일반,825
A0003625,경기 이천시,도두람충전소,경기도 이천시 마장면 중부대로 567,현대오일뱅크,일반,782
A0003668,경기 이천시,우성LPG충전소, 경기도 이천시 부발읍 중부대로,SK에너지,일반,848
A0003795,경기 이천시,삼원가스,경기도 이천시  이섭대천로 1126 (진리동),현대오일뱅크,일반,840
A0003847,경기 이천시,관리LPG충전소,경기 이천시 마장면 마도로 259,E1,일반,765
A0003881,경기 이천시,서진충전소,경기 이천시 황무로 747 (송정동),SK에너지,일반,839
A0003949,경기 이천시,라인에너지덕평충전소,경기도 이천시 마장면 서이천로 189-11,SK가스,일반,754
A0003964,경기 이천시,서천가스,경기 이천시 경충대로 2839 (관고동),SK에너지,일반,839
