
현재 판매가격(충전소)

기준일자 : 20170202,,,,,,(단위 : 원/리터)
고유번호,지역,상호,주소,상표,셀프여부,LPG

A0022492,전북 전주시,만남의충전소,전라북도 전주시 덕진구  초포다리로 194 (호성동1가),GS칼텍스,일반,789
A0022495,전북 전주시,파워LPG충전소,전북 전주시 덕진구 동부대로 1004 (송천동2가),GS칼텍스,일반,759
A0022526,전북 전주시,산정충전소,전북 전주시 덕진구 전진로 62,SK에너지,일반,789
A0022534,전북 전주시,고랑LPG충전소,전북 전주시 덕진구 삼례로 168 (고랑동),SK가스,일반,758
A0022559,전북 전주시,오송충전소,전북 전주시 덕진구 동부대로 1256 (송천동2가),GS칼텍스,일반,759
A0022579,전북 전주시,덕진LPG충전소,전라북도 전주시 덕진구  동부대로 1230 (송천동2가),E1,일반,779
A0022647,전북 전주시,대일엘피지충전소,전북 전주시 덕진구 온고을로 377 (호성동2가),현대오일뱅크,일반,759
A0022649,전북 전주시,호남가스충전소,전라북도 전주시 덕진구  기린대로 424 (금암동),SK에너지,일반,796
A0022658,전북 전주시,비사벌가스충전소,전라북도 전주시 덕진구  기린대로 720 (팔복동1가),SK에너지,일반,796
A0022662,전북 전주시,(유)동유 오렌지충전소,전라북도 전주시 덕진구 온고을로 523,E1,일반,739
A0022683,전북 전주시,서림가스충전소,전라북도 전주시 덕진구  동부대로 844 (호성동1가),SK가스,일반,759
A0022702,전북 전주시,(유)대성엘피지충전소,전라북도 전주시 덕진구 기린대로 930 (동산동),SK에너지,일반,788
A0022712,전북 전주시,유한회사휴개발,전라북도 전주시 완산구 춘향로 4900  (색장동),현대오일뱅크,일반,743
A0022720,전북 전주시,신협제2LPG충전소, 전라북도 전주시 덕진구 팔복동2가 596-11,GS칼텍스,일반,812
A0022742,전북 전주시,(유)전주에너지충전소,전라북도 전주시 덕진구 신복로 96 (팔복동1가),GS칼텍스,일반,759
A0022746,전북 전주시,은혜충전소,전라북도 전주시 덕진구  신복로 2 (팔복동1가),현대오일뱅크,일반,769
A0028844,전북 전주시,(주)우진LPG충전소,전라북도 전주시 완산구  춘향로 5072 (색장동),자가상표,일반,709
A0032855,전북 전주시,혁신도시LPG충전소,전라북도 전주시 덕진구  혁신로 360번지,S-OIL,일반,748
A0033096,전북 전주시,하은충전소,전북 전주시 완산구 쑥고개로 181 (삼천동 3가),SK에너지,일반,714
A0017481,전북 군산시,유한회사가스온,전라북도 군산시  번영로 392 (개정동),자가상표,일반,793
A0017522,전북 군산시,새만금충전소,전라북도 군산시 월명로 112 (지곡동),GS칼텍스,일반,832
A0017547,전북 군산시,연안충전소,전라북도 군산시 강변로 246 (내흥동),GS칼텍스,일반,832
A0017582,전북 군산시,새만금군산충전소,전북 군산시 번영로 730  (내초동),SK에너지,일반,824
A0017615,전북 군산시,동일충전소,전북 군산시 외항1길 32-1 (소룡동),SK가스,일반,816
A0017616,전북 군산시,군산공단충전소,전라북도 군산시 외항로 55 (산북동),GS칼텍스,일반,832
A0017623,전북 군산시,SK군산충전소,전북 군산시 구암3.1로 198 (구암동),SK에너지,일반,813
A0017634,전북 군산시,에스제이상사국제충전소,전라북도 군산시 공단대로 393 (나운동),GS칼텍스,일반,843
A0017641,전북 군산시,금강LPG충전소,전북 군산시 개정면 구암로 224,SK가스,일반,819
A0017650,전북 군산시,(주)한신가스, 전라북도 군산시 조촌로 167,E1,일반,826
A0017660,전북 군산시,(유)한양에너지,전북 군산시 공항로 141 (산북동),E1,일반,826
A0017711,전북 군산시,군산(서울)충전소주유소,전북 군산시 군산시 서해안고속도로 148,현대오일뱅크,일반,859
A0017712,전북 군산시,군산무안주유소충전소,전라북도 군산시 서해안고속도로 141,현대오일뱅크,셀프,859
A0017716,전북 군산시,직영충전소,전라북도 군산시 옥산면 옥산로 154,S-OIL,일반,737
A0017746,전북 군산시,새군산충전소,전라북도 군산시  공단대로 101 (미장동),SK가스,일반,828
A0033045,전북 군산시,와이엔제이LPG,전라북도 군산시 성산면 군익로 111,GS칼텍스,일반,780
A0001242,전북 익산시,새천년LPG충전소,전북 익산시 목천로 140 (목천동),SK가스,일반,822
A0017984,전북 익산시,신동양충전소,전북 익산시 목천로 29 (목천동),SK가스,일반,807
A0018355,전북 익산시,하이LPG충전소,전북 익산시 하나로 633 (임상동),SK가스,일반,780
A0018361,전북 익산시,호남제일충전소,전북 익산시 오산면 군익로 365,E1,일반,822
A0018387,전북 익산시,익산금호가스충전소, 전라북도 익산시 무왕로 1512 (석왕동),E1,일반,822
A0018390,전북 익산시,서해고속LPG충전소,전북 익산시 무왕로 801 (신용동),E1,일반,822
A0018493,전북 익산시,익산하나로LPG충전소,전라북도 익산시 하나로 61 (금강동),E1,일반,822
A0018497,전북 익산시,익산LPG충전소,전북 익산시 하나로 16 (금강동),E1,일반,822
A0018578,전북 익산시,넝쿨가스충전소,전라북도 익산시 석암로 171,현대오일뱅크,일반,798
A0018608,전북 익산시,월드컵충전소,전라북도 익산시  익산대로 621 (신용동),현대오일뱅크,일반,780
A0018610,전북 익산시,금마엘피지충전소,전라북도 익산시 무왕로 1711 (덕기동),SK에너지,일반,819
A0018611,전북 익산시,동산가스충전소,전라북도 익산시  평동로 854 (동산동),GS칼텍스,일반,802
A0018654,전북 익산시,(주)한성가스,전라북도 익산시 서동로 210 (금강동),GS칼텍스,일반,732
A0018655,전북 익산시,이리LPG충전소,전라북도 익산시  약촌로 53(신흥동),GS칼텍스,일반,822
A0018666,전북 익산시,여산(하)주유소/충전소,전북 익산시 여산면 호남고속도로 1671,SK에너지,일반,823
A0018694,전북 익산시,삼화에너지익산,전라북도 익산시 함열읍 함열로 25,E1,일반,780
A0018711,전북 익산시,(주)삼화에너지 함열충전소,전북 익산시 함열읍 익산대로 1901,SK에너지,일반,780
A0018717,전북 익산시,(주)삼화 신흥충전소,전북 익산시 서동로 436 (신흥동),SK에너지,일반,824
A0018725,전북 익산시,우리유통여산(상)주유소/충전소,전라북도 익산시 여산면 호남고속도로 1636,GS칼텍스,일반,823
A0018726,전북 익산시,동일유업㈜모현충전소, 전라북도 익산시 익산대로 347  (모현동2가),GS칼텍스,셀프,822
A0018728,전북 익산시,(유)유일산업익산IC마지막충전소,전라북도 익산시 무왕로 1658,GS칼텍스,일반,819
A0018747,전북 익산시,신용LPG충전소,전북 익산시 익산대로 610 (신용동),E1,일반,822
A0019064,전북 익산시,현대LPG충전소,전북 익산시 하나로 51,현대오일뱅크,일반,799
A0019246,전북 남원시,지리산가스충전소,전북 남원시 원천로 83 (신촌동),S-OIL,일반,787
A0019281,전북 남원시,남원LPG충전소, 전라북도 남원시 충정로 261,E1,일반,786
A0019351,전북 남원시,오토가스 남원충전소,전라북도 남원시  춘향로 156 (용정동),현대오일뱅크,일반,769
A0019376,전북 남원시,삼일남원충전소,전북 남원시 춘향로 212 (용정동),SK가스,일반,763
A0019380,전북 남원시,대보유통(주)지리산(옥포)주유소충전소,전북 남원시 아영면 아곡길 43-53,GS칼텍스,셀프,851
A0019381,전북 남원시,대보유통(주)지리산고서주유소/충전소,전북 남원시 아영면 아곡길 43-177,S-OIL,일반,851
A0020694,전북 남원시,(주)우진LPG산업,전북 남원시 문오로 545 (어현동),GS칼텍스,일반,749
A0018802,전북 정읍시,정주가스충전소,전북 정읍시 벚꽃로 167 (연지동),SK에너지,일반,803
A0018868,전북 정읍시,공단LPG충전소, 전라북도 정읍시 북면 서부산업도로 695,GS칼텍스,일반,797
A0018902,전북 정읍시,하북충전소,전라북도 정읍시 서부산업도로 552 (하북동),E1,일반,803
A0018947,전북 정읍시,신흥LPG충전소,전북 정읍시 정읍북로 50 (구룡동),SK에너지,일반,745
A0018982,전북 정읍시,내장가스충전소,전라북도 정읍시  내장산로 21 (상동),GS칼텍스,일반,803
A0018985,전북 정읍시,호남가스충전소,전라북도 정읍시 정읍남로 1309,E1,일반,803
A0019046,전북 정읍시,에버그린에너지,전북 정읍시 신태인읍 석지로 345,GS칼텍스,일반,744
A0019048,전북 정읍시,㈜삼건사 정읍(논산),전라북도 정읍시 북면 하북1길 227-23,SK에너지,셀프,788
A0019049,전북 정읍시,정읍(하)주유소/충전소,전라북도 정읍시 북면 정신로 135-61,SK에너지,셀프,788
A0019812,전북 정읍시,연송LPG충전소,전라북도 정읍시 충정로 468 (농소동),S-OIL,일반,803
A0032896,전북 정읍시,신태인LPG충전소,전북 정읍시 신태인읍 감곡로 63,E1,일반,781
A0018532,전북 김제시,김제LPG충전소,전라북도 김제시 콩쥐팥쥐로 120,E1,일반,709
A0018533,전북 김제시,제일충전소,전라북도 김제시  하공로 83 (하동),SK에너지,일반,704
A0018561,전북 김제시,김제DL충전소,전북 김제시 공덕면 하공로 772,E1,일반,709
A0018601,전북 김제시,우리LPG충전소,전북 김제시 금구면 선비로 986,SK에너지,일반,714
A0018604,전북 김제시,벽골제LPG충전소,전라북도 김제시  만경로 40 (서암동),S-OIL,일반,723
A0018663,전북 김제시,(유)우주에너지주유소/충전소,전라북도 김제시 금구면 선비로 905,GS칼텍스,셀프,714
A0018710,전북 김제시,반디가스 서암동충전소,전북 김제시 벽성로 361 (서암동),E1,일반,704
A0019079,전북 김제시,덕송주유소/충전소,전북 김제시 용지면 콩쥐팥쥐로 878,S-OIL,일반,744
A0019109,전북 김제시,신흥가스충전소,전북 김제시 벽지산로 273 (교동),SK에너지,일반,810
A0019111,전북 김제시,(주)순동연합LPG충전소, 전라북도 김제시 순백2길 186,E1,일반,709
A0009923,전북 완주군,이서(천안방향)주유소충전소,전라북도 완주군 이서면 호남고속도로 162,SK에너지,일반,769
A0009924,전북 완주군,이서(순천방향)주유소충전소,전라북도 완주군 이서면 호남고속도로 161-1,SK에너지,일반,769
A0017812,전북 완주군,용진에너지,전라북도 완주군 용진면 초포다리로 259,S-OIL,일반,789
A0017934,전북 완주군,소양LPG충전소,전북 완주군 소양면 전진로 592,GS칼텍스,일반,785
A0017960,전북 완주군,한일LPG충전소,전북 완주군 소양면 전진로 656,SK에너지,일반,796
A0017988,전북 완주군,정원충전소,전라북도 완주군 봉동읍 봉동로 824,S-OIL,일반,795
A0018095,전북 완주군,소양사랑LPG충전소,전북 완주군 소양면 전진로 891,현대오일뱅크,일반,769
A0018158,전북 완주군,삼례LPG충전소,전북 완주군 삼례읍 평동로 1911,S-OIL,일반,749
A0018160,전북 완주군,삼봉에너지 주유소/충전소,전북 완주군 삼례읍 과학로 509,S-OIL,일반,755
A0018190,전북 완주군,(유)한국충전소,전북 완주군 봉동읍 완주로 539,GS칼텍스,일반,797
A0018234,전북 완주군,주식회사 라정에너지,전북 완주군 상관면 춘향로 4082,현대오일뱅크,일반,739
A0022551,전북 완주군,구이LPG충전소,전북 완주군 구이면 모악로 3850,GS칼텍스,일반,769
A0000056,전북 진안군,한화리조트(주)진안(상)주유소, 전라북도 진안군 진안읍 익산장수고속도로 41-1,GS칼텍스,일반,829
A0000057,전북 진안군,한화리조트(주)진안(하)주유소, 전라북도 진안군 진안읍 익산장수고속도로 42-1,현대오일뱅크,일반,829
A0019136,전북 진안군,진안가스충전소,전북 진안군 진안읍 진장로 110,SK가스,일반,785
A0022583,전북 진안군,마이산LPG충전소,전북 진안군 진안읍 전진로 지하 3067,S-OIL,일반,785
A0022667,전북 진안군,반석충전소,전북 진안군 부귀면 전진로 2721,현대오일뱅크,일반,780
A0018231,전북 무주군,계룡산업(주)덕유산(상행)주유소,전라북도 무주군 안성면 공진리 471,현대오일뱅크,일반,790
A0019147,전북 무주군,무주LPG충전소,전북 무주군 무주읍 무학로 26,GS칼텍스,일반,829
A0017825,전북 장수군,장계가스충전소,전북 장수군 계남면 장무로 146,SK가스,일반,803
A0018230,전북 장수군,계룡산업덕유산통영방향주유소/충전소,전북 장수군 계북면 당저길 59,SK에너지,일반,799
A0009921,전북 임실군,오수(전주방향)주유소충전소,전라북도 임실군 오수면 순천완주고속도로 74,SK에너지,일반,769
A0009922,전북 임실군,오수(광양방향)주유소충전소,전라북도 임실군 오수면 순천완주고속도로 73,SK에너지,일반,769
A0019184,전북 임실군,임실충전소,전북 임실군 임실읍 춘향로 3007,S-OIL,일반,749
A0019321,전북 순창군,순창LPG충전소,전라북도 순창군 장류로 234-7,현대오일뱅크,일반,813
A0018950,전북 고창군,동신충전소,전북 고창군 신림면 고인돌대로 2104,S-OIL,일반,789
A0019007,전북 고창군,(유)광진가스충전소,전북 고창군 고창읍 중앙로 152,SK에너지,일반,789
A0019012,전북 고창군,고창에너지,전라북도 고창군 고창읍 동서대로 1882,SK에너지,일반,789
A0019020,전북 고창군,(유)고창가스충전소,전라북도 고창군 고창읍 고인돌대로 1940,E1,일반,789
A0019044,전북 고창군,NH유통(주)하주유소/충전소,전북 고창군 신림면 전봉준로 426,SK에너지,일반,824
A0019045,전북 고창군,고인돌(상)주유소/충전소,전북 고창군 고창읍 전봉준로 414-24,GS칼텍스,일반,824
A0003491,전북 부안군,부안LPG충전소,전북 부안군 부안읍 부령로 13,S-OIL,일반,700
A0018782,전북 부안군,서림LPG충전소,전북 부안군 부안읍 오리정로 42,E1,일반,789
A0018896,전북 부안군,줄포LPG충전소,전북 부안군 줄포면 부안로 985,S-OIL,일반,783
A0018919,전북 부안군,변산대박LPG충전소,전라북도 부안군 변산면 변산로 2409,자가상표,일반,789
A0019060,전북 부안군,제일LPG가스충전소,전라북도 부안군 행안면 부안로 2463,GS칼텍스,일반,779
A0019061,전북 부안군,현대가스충전소,전북 부안군 행안면 변산로 47,SK가스,일반,676
A0020850,전남 목포시,21세기가스충전소,전남 목포시 삼학로 233 (산정동),GS칼텍스,일반,812
A0020922,전남 목포시,(주)금성가스,전남 목포시 삼학로 162 (산정동),GS칼텍스,일반,790
A0020923,전남 목포시,목포가스충전소,전라남도 목포시  석현로 5 (석현동),E1,일반,831
A0020928,전남 목포시,(유)제일충전소,전남 목포시 대양로 25 (연산동),SK가스,일반,849
A0020935,전남 목포시,(유)남악가스,전남 목포시 임성로 34 (석현동),SK가스,일반,834
A0020936,전남 목포시,유한회사 청호충전소,전남 목포시 대양로 52 (연산동),E1,일반,883
A0020939,전남 목포시,(유)대양에너지,전남 목포시 영산로 817  (대양동),SK에너지,일반,799
A0020953,전남 목포시,(유)고속에너지,전남 목포시 영산로 774,현대오일뱅크,일반,849
A0020955,전남 목포시,유한회사유정에너지,전라남도 목포시 백년대로 221(상동),E1,일반,843
A0021002,전남 목포시,반디가스 석현동충전소,전남 목포시 영산로 648-5 (석현동),E1,일반,801
A0021014,전남 목포시,(주)동신에너지 목포지점,전라남도 목포시 대양로 149 (용해동),S-OIL,일반,839
A0022056,전남 목포시,유달충전소,전남 목포시 삼학로 118 (산정동),SK에너지,일반,795
A0019412,전남 여수시,여천가스충전소,전라남도 여수시 쌍봉로 258 (시전동),GS칼텍스,일반,819
A0022083,전남 여수시,(주) 대성에너지,전남 여수시 좌수영로 632 (둔덕동),SK가스,일반,819
A0022247,전남 여수시,그린LPG충전소,전남 여수시 시청로 175 (여천동912-2919-3),GS칼텍스,일반,819
A0022272,전남 여수시,수달LPG충전소,전라남도 여수시 좌수영로 1162,S-OIL,일반,803
A0022358,전남 여수시,오션LPG충전소,전라남도 여수시 소라면 화양로 1818 오션LPG충전소,S-OIL,일반,819
A0022382,전남 여수시,대상LPG충전소,전라남도 여수시 율촌면 여순로 800,GS칼텍스,일반,779
A0022383,전남 여수시,구봉가스충전소,전라남도 여수시  국동남9길 14 (국동) 구봉가스충전소,E1,일반,819
A0022384,전남 여수시,구봉가스2충전소,전남 여수시 좌수영로 656 (둔덕동),E1,일반,819
A0022391,전남 여수시,구봉가스3충전소,전남 여수시 무선로 280 (화장동),E1,일반,819
A0022423,전남 여수시,(유)개인가스충전소,전남 여수시 쌍봉로 249 (학용동),S-OIL,일반,819
A0022444,전남 여수시,동화가스(주)여수영업소,전남 여수시 좌수영로 196 (연등동),GS칼텍스,일반,818
A0022484,전남 여수시,내트럭(주) 여수사업소,전라남도 여수시  여수산단로 154-3 (주삼동),SK에너지,일반,809
A0022485,전남 여수시,반디가스 여서동충전소,전남 여수시 한재로 9 (여서동),E1,일반,819
A0021693,전남 순천시,해월가스충전소,전라남도 순천시 해룡면 월전길 1,SK가스,일반,795
A0021776,전남 순천시,산하LPG충전소,전남 순천시 별량면 녹색로 63,SK가스,일반,776
A0021834,전남 순천시,내고향LPG충전소,전남 순천시 황전면 순천로 1660,S-OIL,일반,791
A0021850,전남 순천시,남동가스충전소,전남 순천시 별량면 녹색로 988,S-OIL,일반,773
A0021858,전남 순천시,순천LPG충전소,전남 순천시 팔마로 343 (연향동),E1,일반,821
A0021882,전남 순천시,해룡LPG충전소,전남 순천시 해룡면 여순로 1643,E1,일반,798
A0021887,전남 순천시,순천가스충전소,전라남도 순천시  팔마로 223 (덕암동),SK가스,일반,819
A0021946,전남 순천시,금치LPG충전소,전남 순천시 별량면 녹색로 118,현대오일뱅크,일반,776
A0022029,전남 순천시,신대LPG충전소,전라남도 순천시 해룡면 상성길 286,현대오일뱅크,일반,823
A0022074,전남 순천시,(유)동양엘피지,전라남도 순천시 중앙로 371 (가곡동),GS칼텍스,일반,823
A0022084,전남 순천시,(주) 일원,전남 순천시 서면 백강로 613,SK가스,일반,823
A0022086,전남 순천시,(유)순천톨게이트개인충전소,전라남도 순천시 서면 백강로 600,GS칼텍스,일반,823
A0022100,전남 순천시,(주)왕조LPG충전소, 전라남도 순천시 순광로 95 (조례동),E1,일반,823
A0022108,전남 순천시,가곡LPG충전소,전남 순천시 중앙로 432 (가곡동),SK에너지,일반,769
A0022202,전남 순천시,(주)에스피씨삼립황전(순천)주유소,전라남도 순천시 황전면 순천완주고속도로 25,GS칼텍스,셀프,769
A0022203,전남 순천시,(주)에스피씨삼립황전(전주)주유소,전라남도 순천시 황전면 순천완주고속도로 28,GS칼텍스,셀프,819
A0022212,전남 순천시,위즈코프(주)주암순천방향휴게소,전라남도 순천시 주암면 호남고속도로 29,현대오일뱅크,일반,796
A0022213,전남 순천시,주암(천안)주유소,전라남도 순천시 주암면 호남고속도로 24-1,현대오일뱅크,셀프,796
A0033005,전남 순천시,태광LPG충전소,전라남도 순천시  우석로 17 (덕월동),E1,셀프,822
A0021039,전남 나주시,양산LPG충전소,전남 나주시 왕곡면 예향로 3532,현대오일뱅크,일반,743
A0021060,전남 나주시,신성충전소,전남 나주시 다시면 영산로 4837,현대오일뱅크,일반,765
A0021074,전남 나주시,노안LPG충전소,전라남도 나주시 노안면 건재로 507,SK에너지,일반,734
A0021141,전남 나주시,무지개LPG충전소,전남 나주시 다시면 영산로 4738,E1,일반,765
A0021221,전남 나주시,남평LPG충전소,전남 나주시 산남로 179,SK에너지,일반,778
A0021290,전남 나주시,(유)예향에너지,전라남도 나주시 예향로 3754,E1,일반,734
A0032842,전남 나주시,ok고속충전소,전라남도 나주시 다시면 영산로 4581,SK가스,일반,764
A0032997,전남 나주시,평산충전소,전라남도 나주시 남평읍 영산로 6645,S-OIL,일반,760
A0018391,전남 광양시,금선,전라남도 광양시 광양읍 제철로 237-1,현대오일뱅크,일반,823
A0020158,전남 광양시,진월IC충전소,전라남도 광양시 진월면 백운1로 464,SK가스,일반,809
A0021674,전남 광양시,대륙LPG충전소,전남 광양시 옥곡면 강변로 247,SK에너지,일반,802
A0021701,전남 광양시,부광LPG충전소,전남 광양시 백운로 955-4 (성황동),S-OIL,일반,822
A0021829,전남 광양시,거성LPG충전소,전남 광양시 광양읍 백운로 226,GS칼텍스,일반,822
A0021921,전남 광양시,금당LPG충전소,전라남도 광양시 광양읍 동주1길 7,E1,일반,822
A0022077,전남 광양시,반디가스 광양IC충전소,전남 광양시 광양읍 용두길 14,E1,일반,822
A0022082,전남 광양시,(주)백운에너지,전남 광양시 옥곡면 의암공단길 7,S-OIL,일반,817
A0022091,전남 광양시,가야산충전소,전남 광양시 백운로 1265 (마동),SK에너지,일반,802
A0022093,전남 광양시,유한회사 제철엘피지충전소,전라남도 광양시 백운로 1331,GS칼텍스,일반,822
A0022104,전남 광양시,아폴론LPG충전소,전라남도 광양시 광양읍 순광로 591,E1,일반,822
A0022177,전남 광양시,(주)대성황금LPG충전소,전라남도 광양시 제철로 661,SK에너지,일반,809
A0022200,전남 광양시,㈜청정희망찬충전소,전남 광양시 백운로 978 (성황동),GS칼텍스,일반,822
A0022218,전남 광양시,동광양충전소,전남 광양시 강변로 98 (광영동),SK에너지,일반,821
A0019851,전남 담양군,만재LPG충전소,전라남도 담양군 담양읍 죽향대로 1110,SK가스,일반,759
A0019889,전남 담양군,성산LPG충전소(S),전남 담양군 대전면 추성로 571,S-OIL,일반,766
A0019956,전남 담양군,고서LPG충전소,전라남도 담양군 고서면 창평현로 141,GS칼텍스,일반,758
A0019964,전남 담양군,담양가스충전소,전남 담양군 담양읍 죽향대로 1042,E1,일반,752
A0020094,전남 담양군,(유)유성에너지북광주충전소,전라남도 담양군 담양읍 추성로 1155,E1,일반,758
A0019491,전남 곡성군,곡성충전소,전라남도 곡성군 삼기면 곡순로 1234,GS칼텍스,일반,785
A0019522,전남 곡성군,기차마을LPG충전소, 전라남도 곡성군 곡성읍 곡성로 355,현대오일뱅크,일반,735
A0019526,전남 곡성군,옥과LPG충전소,전라남도 곡성군 옥과면 천변로 71,SK에너지,일반,749
A0019674,전남 곡성군,㈜안국산업 곡성(상)충전소,전남 곡성군 겸면 우주항공로 0,현대오일뱅크,일반,765
A0019684,전남 곡성군,곡성(순천)주유소,전남 곡성군 겸면 심정길 1-82,현대오일뱅크,일반,758
A0021789,전남 구례군,구례LPG충전소,전라남도 구례군 마산면 섬진강대로 5503,E1,일반,791
A0022060,전남 구례군,산동LPG충전소,전남 구례군 산동면 산업로 2307,SK가스,일반,791
A0022061,전남 구례군,옥천LPG충전소(역전),전남 구례군 구례읍 까막정길 127,GS칼텍스,일반,791
A0022075,전남 구례군,(유)대영에너지,전라남도 구례군 용방면 산업로 1464,GS칼텍스,일반,791
A0019388,전남 고흥군,등암LPG,전남 고흥군 고흥읍 고흥로 1520,SK에너지,일반,789
A0021348,전남 고흥군,파랑새LPG충전소,전남 고흥군 점암면 우주항공로 2878,현대오일뱅크,일반,777
A0021856,전남 고흥군,우주 주유소/충전소,전남 고흥군 동강면 고흥로 2394,GS칼텍스,일반,789
A0021883,전남 고흥군,녹동LPG충전소,전남 고흥군 도양읍 우주항공로 446,현대오일뱅크,일반,809
A0021901,전남 고흥군,금성LPG충전소,전남 고흥군 과역면 우주항공로 3256,GS칼텍스,일반,777
A0021974,전남 고흥군,소록충전소, 전라남도 고흥군 도양읍 우주항공로 225,S-OIL,일반,809
A0020960,전남 보성군,벌교IC충전소,전라남도 보성군 벌교읍 녹색로 5337,GS칼텍스,일반,737
A0021708,전남 보성군,신흥가스충전소,전남 보성군 보성읍 용문길 13,GS칼텍스,일반,792
A0021817,전남 보성군,고속LPG충전소,전남 보성군 조성면 녹색로 4151,자가상표,일반,763
A0021919,전남 보성군,(주)남벌교충전소,전남 보성군 벌교읍 채동선로 136-79,E1,일반,776
A0022040,전남 보성군,녹차골엘피지충전소,전남 보성군 보성읍 녹색로 2828,자가상표,일반,779
A0022219,전남 보성군,대보건설(주)보성(광양)주유소충전소,전라남도 보성군 겸백면 남해고속도로 70,SK가스,셀프,844
A0022220,전남 보성군,대보건설(주)보성(목포)주유소,전라남도 보성군 미력면 남해고속도로 63,SK가스,셀프,844
A0019390,전남 화순군,앵남LPG충전소(S),전라남도 화순군 화순읍 지강로 780,S-OIL,일반,750
A0019471,전남 화순군,세량LPG충전소,전라남도 화순군 화순읍 지강로 825,GS칼텍스,일반,750
A0019549,전남 화순군,차사랑LPG충전소,전남 화순군 화순읍 화보로 3901,GS칼텍스,일반,739
A0019554,전남 화순군,화순LPG충전소,전라남도 화순군 능주면 화보로 3548,자가상표,일반,733
A0019596,전남 화순군,명품LPG충전소,전남 화순군 화순읍 쌍충로 127-4,SK에너지,일반,742
A0019627,전남 화순군,(주)지석 지석강,전라남도 화순군 춘양면 화보로 2553,S-OIL,일반,739
A0020104,전남 화순군,특별한충전소,전남 화순군 화순읍 화보로 4167,SK에너지,일반,688
A0019006,전남 장흥군,유)청기와에너지,전라남도 장흥군 안양면 남부관광로 310,GS칼텍스,일반,798
A0021413,전남 장흥군,장안동부LPG충전소,전남 장흥군 부산면 녹색로 1030,S-OIL,일반,788
A0021470,전남 장흥군,장흥가스충전소,전남 장흥군 장흥읍 장강로 120,현대오일뱅크,일반,793
A0021491,전남 장흥군,천관산LPG충전소,전남 장흥군 용산면 장흥대로 1948,GS칼텍스,일반,798
A0021485,전남 강진군,청자LPG충전소,전남 강진군 강진읍 녹색로 3926,현대오일뱅크,일반,792
A0021534,전남 강진군,강진충전소,전남 강진군 강진읍 송계로 35,SK에너지,일반,719
A0021581,전남 강진군,성전충전소,전남 강진군 성전면 예향로 574,S-OIL,일반,759
A0021585,전남 강진군,강진LPG충전소,전라남도 강진군 강진읍 송계로 458,E1,일반,773
A0020745,전남 해남군,해동LPG충전소,전남 해남군 산이면 관광레저로 1785,S-OIL,일반,815
A0021567,전남 해남군,한성가스충전소,전라남도 해남군 해남읍 중앙1로 410,SK가스,셀프,818
A0021576,전남 해남군,해남I.C가스충전소,전남 해남군 해남읍 땅끝대로 77,SK에너지,일반,818
A0021594,전남 해남군,제일LPG충전소,전남 해남군 해남읍 땅끝대로 123,GS칼텍스,일반,818
A0021608,전남 해남군,(유)평화에너지,전라남도 해남군 계곡면 공룡대로 4161,GS칼텍스,일반,769
A0021665,전남 해남군,쇄노재충전소,전남 해남군 북평면 백도로 531,S-OIL,일반,745
A0032899,전남 해남군,우수영충전소,전라남도 해남군 문내면 관광레저로 86,자가상표,일반,814
A0020741,전남 영암군,삼호에너지,전남 영암군 삼호읍 대보둑로 214,GS칼텍스,일반,819
A0020752,전남 영암군,유토피아LPG충전소,전라남도 영암군 삼호읍 산호리 588-19,S-OIL,일반,835
A0020759,전남 영암군,서창LPG충전소,전라남도 영암군 삼호읍 녹색로 1537,GS칼텍스,일반,828
A0020887,전남 영암군,청호에너지충전소,전라남도 영암군 삼호읍 대불로 192,E1,일반,790
A0020925,전남 영암군,대불충전소,전라남도 영암군 삼호읍 대불로 799,E1,일반,803
A0021100,전남 영암군,영암가스충전소,전남 영암군 영암읍 영암로 1413,SK에너지,일반,788
A0021179,전남 영암군,신북LPG충전소,전남 영암군 신북면 예향로 2449,E1,일반,729
A0021288,전남 영암군,제일가스에너지,전남 영암군 영암읍 예향로 1687,자가상표,일반,739
A0032898,전남 영암군,한국에너지(주),전라남도 영암군 영암읍 예향로 1200,현대오일뱅크,일반,725
A0020804,전남 무안군,무안  I.C 충전소,전남 무안군 무안읍 영산로 3067,S-OIL,일반,811
A0020858,전남 무안군,보광가스충전소,전남 무안군 청계면 청천리 81-1,E1,일반,810
A0020904,전남 무안군,동림산업가스충전소,전남 무안군 무안읍 무안로 616,SK가스,일반,810
A0021086,전남 함평군,주포LPG충전소,전라남도 함평군 함평읍 함영로 1387,GS칼텍스,일반,819
A0021249,전남 함평군,학교가스산업,전라남도 함평군 학교면 영산로 3519,GS칼텍스,일반,765
A0021282,전남 함평군,(주)중앙그린에너지,전남 함평군 해보면 영광로 2546,GS칼텍스,일반,732
A0021287,전남 함평군,케이엘에너지LPG충전소, 전라남도 함평군 학교면 함영로 730,현대오일뱅크,일반,776
A0021336,전남 함평군,대보디앤에스(주)함평나비(무안)주유소,전라남도 함평군 엄다면 무안광주고속도로 11-1,SK가스,일반,824
A0020323,전남 영광군,한국에너지충전소,전남 영광군 영광읍 영광로6길 2,SK에너지,일반,797
A0020346,전남 영광군,남부LPG충전소,전남 영광군 영광읍 영광로 1332,SK에너지,일반,797
A0020419,전남 영광군,태양LPG충전소,전라남도 영광군 영광읍 330-1,E1,일반,796
